title,document_url,company_url,page_number,direct_download_url
Absa Bank Kenya Plc (ABSA.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-absa-2023-ar-00/,https://africanfinancials.com/company/ke-absa/,28,https://drive.google.com/uc?export=download&id=1372ZIkPTFiekINis_QbYcH7lZOqjOCus
Nairobi Securities Exchange Limited (NSE.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-nse-2023-ar-00/,https://africanfinancials.com/company/ke-nse/,28,https://drive.google.com/uc?export=download&id=1u_iPjJDA1YaWjB0OAVUhRiGSZ2VIEvdo
Stanbic Holdings Plc (SBIC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sbic-2023-ar-00/,https://africanfinancials.com/company/ke-sbic/,28,https://drive.google.com/uc?export=download&id=1P2jNlvPljM1jh4Xym9KTROUId7ZU_yR3
NCBA Group PLC (NCBA.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-ncba-2023-ar-00/,https://africanfinancials.com/company/ke-ncba/,29,https://drive.google.com/uc?export=download&id=1oCYHtSdVuAR-gDd4DI5De0cl2BUiRN32
Limuru Tea PLC (LIMT.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-limt-2023-ar-00/,https://africanfinancials.com/company/ke-limt/,29,https://drive.google.com/uc?export=download&id=1LftDEo1WBQ8HcnZLOKlHzPRH8XMTrXy3
HF Group Limited (HFCK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-hfck-2023-ar-00/,https://africanfinancials.com/company/ke-hfck/,29,https://drive.google.com/uc?export=download&id=17LlIWjJ-RZPF-pD4MuvT7ePRO6ck8fNj
Diamond Trust Bank of Kenya Limited (DTK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-dtk-2023-ar-00/,https://africanfinancials.com/company/ke-dtk/,29,https://drive.google.com/uc?export=download&id=1sjVEh1J5qWWB5GBeqvEztgX4lw7cpidy
The Co-operative Bank of Kenya Limited (COOP.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-coop-2023-ar-00/,https://africanfinancials.com/company/ke-coop/,29,https://drive.google.com/uc?export=download&id=1kBsd2bJoH6GlQ7sWmE39jdCquqGgpKBw
Equity Bank Limited (EQTY.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-eqty-2023-ar-00/,https://africanfinancials.com/company/ke-eqty/,29,https://drive.google.com/uc?export=download&id=1pYBTvtsYN7Bo8094E587kkEw-eujUYnw
British American Tobacco Kenya Limited (BAT.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-bat-2023-ar-00/,https://africanfinancials.com/company/ke-bat/,29,https://drive.google.com/uc?export=download&id=1p2W83-n5EI6Yq_GyOwEwsDxT4jGLr-H2
East Africa Cables Plc(CABL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cabl-2023-ar-00/,https://africanfinancials.com/company/ke-cabl/,29,https://drive.google.com/uc?export=download&id=1HioRXBO5HZl2nsbkUPnU6MwhRBA1tVn0
Standard Chartered Bank Limited (SCBK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-scbk-2023-ar-00/,https://africanfinancials.com/company/ke-scbk/,30,https://drive.google.com/uc?export=download&id=1BLyWuj6YSo2sP8dJQu2GwwNHBmcjDMPk
KCB Group Plc (KCB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kcb-2023-ar-00/,https://africanfinancials.com/company/ke-kcb/,30,https://drive.google.com/uc?export=download&id=1Ykv6i8SJWghkDMu5FjJsTiPgZAg-V0Q8
Car & General Limited (CGEN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cgen-2023-ar-00/,https://africanfinancials.com/company/ke-cgen/,30,https://drive.google.com/uc?export=download&id=1q3EUejcy3ef1k9DMMVE3Kn6Q5NYAYSFu
Umeme Limited (UMME.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-umme-2023-ar-00/,https://africanfinancials.com/company/ke-umme/,31,https://drive.google.com/uc?export=download&id=1kPb2TQxbw2kIzYKW3C5e4NgD95TjnZ__
Liberty Kenya Holdings Limited (LBTY.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-lbty-2023-ar-00/,https://africanfinancials.com/company/ke-lbty/,31,https://drive.google.com/uc?export=download&id=1eU_UmyuEjgEsr393tm4I7z8-_QBswOkP
Stanlib Fahari I-REIT (FAHR.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-fahr-2023-ar-00/,https://africanfinancials.com/company/ke-fahr/,32,https://drive.google.com/uc?export=download&id=1lRvNm5_FgGHrZ2MNRMhSJ36fOFAo4KAg
Kenya Orchards Plc (ORCH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-orch-2023-ar-00/,https://africanfinancials.com/company/ke-orch/,33,https://drive.google.com/uc?export=download&id=1Vkz7LI73P3pXxnhDn5OK0JPIoRMYr_X_
Kakuzi Limited (KUKZ.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kukz-2023-ar-00/,https://africanfinancials.com/company/ke-kukz/,34,https://drive.google.com/uc?export=download&id=1xe2ZHzj2wFr-JFPZn4ckwbmeuPeqw6OY
